Feature,4_IBA_23,4_IBA_25,4_IBA_32,4_IBA_35,4_IBA_37,4_IBA_38,4_IBA_39,4_IBA_40,5_MAR_41,5_MAR_42,5_MAR_43,5_MAR_44,5_MAR_45,5_MAR_46,5_MAR_47,5_MAR_48,2_OCT_10,2_OCT_11,2_OCT_12,2_OCT_13,2_OCT_14,2_OCT_15,2_OCT_16,2_OCT_17,2_OCT_18,1_SEPT_1,1_SEPT_2,1_SEPT_3,1_SEPT_4,1_SEPT_5,1_SEPT_6,1_SEPT_7,1_SEPT_8,1_SEPT_9,3_TOR_19,3_TOR_20,3_TOR_21,3_TOR_22,3_TOR_24,3_TOR_26,3_TOR_27,3_TOR_28,3_TOR_29,3_TOR_30,3_TOR_31,3_TOR_33,3_TOR_34,3_TOR_36
Argininosuccinic acid,9787670.315,3725850.23,21707021.53,18670588.03,8555127.155,854582.3925,2356643.5,6220723.383,4367937.233,1578266.582,2787030.914,3310680.557,2521353.22,3613891.199,3838301.708,4915366.159,941899.6681,3387476.184,1897619.145,2297054.609,1104986.598,480230.3167,1152889.203,9419899.006,4255983.347,2506077.974,9013865.124,6322182.398,15301626.03,4765306.125,5752654.183,6322898.272,8505683.813,8849223.874,2340561.939,1836946.59,2423329.421,2395083.587,3893052.588,2105869.655,2163571.997,3469835.742,3819902.406,813818.4348,2612789.948,3785086.778,5608437.492,1591894.139
arg-leu,603498.0907,428279.6422,727324.3267,300180.5411,705102.8464,230187.8898,275167.9621,593948.7609,1495191.618,467222.5952,339354.3002,510554.442,533061.6234,381486.5519,482499.4408,347201.5783,288490.4699,358538.0182,252245.5191,497838.0666,287257.4581,281104.626,359058.5881,364731.006,170922.4155,1006391.612,779767.435,943864.1119,838530.5974,655938.8215,929608.2645,797874.7223,913869.0155,1007014.512,356742.3018,271086.2012,399774.4342,369889.0987,239117.1463,357630.9411,190888.0133,195397.6478,151723.6187,165290.6477,269087.6236,284986.4608,363980.6014,262247.4338
asn-lys,8196614.219,5881243.536,5244997.89,1637444.158,4604299.597,3748934.242,2671501.164,5981162.51,2953033.911,8052064.624,4020208.363,3301880.599,4035609.923,9029218.852,6252315.09,1141873.634,9299440.252,5078904.941,6727783.777,12650988.12,6125932.681,11071727.06,14406108.4,3213758.321,6132755.342,6132438.303,6462324.72,4244701.714,3165288.438,4460314.419,5314160.675,4019180.098,6017506.115,5693911.536,7126895.864,6158639.922,7110527.163,6332282.374,4890969.02,9431976.999,7319490.866,2415351.172,2785483.021,2475763.946,2890128.709,8811078.786,7337663.128,6118429.859
asn-val,344081030.6,308622696.2,253639340.7,183002669.4,155802248.2,182819387.4,178543857.5,406680337.4,170462575,370216407,344485526.5,348838209,211531393.1,399690438,320396954.2,162066400.8,240772881.2,433328127.9,278565713.6,325863665.5,308198413.6,382591681.5,442669867,68690980.66,300376489.1,346311890.4,229748455.8,194234381.1,258147949.6,180454087.1,161318202.1,175839545.6,304441112.4,291497305.4,322866445.8,295301260.3,245265183.2,352696118.7,284222943.6,401725043.2,488322901.2,214988291.9,239521075.6,89149217.7,255961615,451328276.9,298428010.9,400499001.3
Asparagine,50365727.41,21403877.69,51318050.72,47882615.11,32694513.08,10097941.89,12038545.44,46939582.8,70267877.63,86243859.08,67918694.52,96192029.32,44858824.17,55097269.88,58642338.24,52033425.13,36298080.41,44909185.84,19657550.8,39017425.16,11301708.91,7528974.912,22493859.61,66850366.73,10772645.76,45055507.07,130561265,112666607.3,60513564.61,71508474.07,74867276.54,70928713.08,63541966.67,105273973.4,14444728.34,8086746.399,13228429.13,8840692.854,5522776.624,16225265.49,9428015.459,7143641.007,5097451.14,13867664.68,19322072.07,16026526.19,35190976.94,5610939.757
Aspartyl-L-proline,4524549.873,3710817.037,4228485.27,4271584.681,4635847.097,3211180.851,3445712.47,4227840.698,3460283.996,4231285.444,3705661.341,4127181.116,3392730.868,3563600.395,3301688.658,806737.848,9185989.235,5178658.14,4486052.751,4942239.871,4516912.568,4735561.013,4517950.152,3984278.85,4616321.751,4648975.138,4034202.676,3728379.757,5304299.236,2598385.957,3386629.828,3915270.694,3378018.263,6246415.073,5238048.729,5054954.52,3506019.567,3393147.566,6178183.784,4713920.914,4539013.653,3168152.18,3882510.195,2038935.357,2701931.237,4522843.697,3940784.013,3631296.922
asp-gln,1716385.171,849813.0567,1842458.631,1682731.738,2843510.794,2524370.541,1758812.441,3000140.654,1631745.361,2405022.33,1667233.506,2551520.305,1565162.022,1524600.77,2168923.587,1963442.321,1840136.961,2022447.282,2054263.895,2201846.361,1547553.477,1762722.772,1408324.864,2131189.269,1119349.788,1474044.911,1936480.572,2807447.218,1546291.45,1812943.543,1428374.397,1734742.533,2544891.918,2348431.534,2124386.439,2037053.434,2249737.423,1621430.972,282743.452,1681778.811,1283259.061,1384410.329,439664.2907,1681544.483,1611810.585,2630855.231,2042070.224,595284.5822
Asp-lys,4372462.605,8090868.261,5364560.235,6310882.529,4636261.096,8783062.873,7861149.898,5430763.802,4163469.487,4308980.786,4287536.297,4949344.2,4806016.647,3535713.309,3228968.254,8893450.653,5898562.341,4702802.014,4017145.845,2915796.699,4878293.057,4346308.502,3907219.371,4146719.449,5907165.093,3103789.101,3941431.548,4653169.2,2536908.734,3063682.877,3456271.939,3567587.468,2840976.244,3772839.175,8831048.661,7117149.736,9008357.898,4197539.21,8178262.816,6557974.739,5974619.014,8553171.241,5746064.392,6087030.014,7391996.165,4883165.811,7557113.574,7547068.181
beta-Alanyl-L-arginine,6132130.288,8098541.483,10991844.3,5712517.039,7843244.776,2612720.536,5877164.766,6237094.647,18291377.78,3260381.682,4640723.242,6858926.601,3998013.78,5818837.739,3319588.258,5148489.22,4705747.624,5247310.139,6142578.531,7128972.655,7566418.884,4090414.996,5910419.212,3247401.757,4418865.692,7109963.412,2606470.804,1923717.806,9544495.514,6865979.364,5423626.735,4077883.96,6124430.116,5921333.464,5549559.21,5948095.356,6589157.75,5870929.885,3976255.568,7447701.864,2750773.93,5634237.723,4708241.212,2185399.523,3804810.141,2476993.49,3796557.872,4026828.122
beta-L-fucose 1-phosphate,94133.56382,1747287.521,979500.1587,1690082.55,1533856.208,976583.2917,939553.0871,475151.9795,1234278.107,2430089.679,1935097.515,1137429.443,413255.771,1752641.245,887752.5897,279397.8603,2289366.181,1694620.07,846347.2456,1544010.344,913049.5545,2540407.668,641880.8143,1207051.891,1617555.846,145054.1059,97174.01398,80006.12345,1185941.99,3200763.578,521150.8693,486891.1158,399517.1884,799318.4992,727453.191,484518.2632,1625010.644,607050.8262,301836.8114,226792.0079,1751380.565,2452412.115,654538.4623,1347324.112,786589.3104,770706.2664,991315.6875,297027.6496
